start station name,Average trip duration,station latitude,station longitude,bikes leaving
NCAAA - Walnut Ave at Crawford St,1885.9615384615386,42.316902,-71.091946,26
Nashua Street at Red Auerbach Way,1600.5381526104418,42.365673,-71.064263,996
New Balance - 20 Guest St,6085.034722222223,42.35732922,-71.1467354,144
Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,3591.589928057554,42.326599,-71.066498,139
Newton Highlands T,953.9090909090909,42.32206566,-71.20637298,11
Newton Library,2158.0,42.33620337,-71.20779455,1
Nichols Ave. at Watertown Greenway,1192.68,42.36762049,-71.15656637,100
Nonantum Library,512.2222222222222,42.36068456,-71.201462,9
North St at Liberty Hill Ave,912.5,42.52989965,-70.90614259,2
Northern Strand at Main St,1298.2238805970148,42.42386,-71.067793,67
Oak Square - 615 Washington St,1091.384,42.35057,-71.166491,125
Old Morse Park at Putnam Ave,681.8018867924528,42.35766248,-71.10841334,742
One Beacon St,976.4619047619047,42.35847764,-71.0613513,210
One Brigham Circle,794.5916870415648,42.3339227,-71.10446509,409
One Broadway / Kendall Sq at Main St / 3rd St,1087.2941176470588,42.36224179,-71.08311072,680
One Kendall Square at Hampshire St / Portland St,745.886511627907,42.366277,-71.09169,1075
One Memorial Drive,804.7378917378917,42.36161932,-71.08043551,351
Orient Heights T Stop - Bennington St at Saratoga St,1968.5428571428572,42.386781,-71.006098,35
Orr Sq (Shirley Ave),2018.0,42.40715656,-70.9927243,23
Packard Ave at Powderhouse Blvd,2895.710843373494,42.40449,-71.123413,166
Packard's Corner - Commonwealth Ave at Brighton Ave,1032.2807991120976,42.352261,-71.123831,901
Park Dr at Buswell St,852.6527093596059,42.347241,-71.105301,406
Park Plaza at Charles St S.,770.3820598006645,42.35182807,-71.06781138,301
Perry Park,868.1388888888889,42.37927325,-71.10341903,612
Pier 4 Blvd at Autumn Ln,719.0321100917431,42.3502102,-71.0446705,218
Porter Square Station,718.6258741258741,42.387995,-71.119084,858
Porzio Park,2276.92,42.36411904,-71.02876782,50
Powder House Circle - Nathan Tufts Park,2594.157894736842,42.400877,-71.116772,190
Prudential Center - 101 Huntington Ave,2068.9649941656944,42.34652004,-71.08065777,857
Purchase St at Pearl St,2037.0714285714287,42.354659,-71.053181,518
Railroad Lot and Minuteman Bikeway,2063.6521739130435,42.41606457,-71.15336637,138
Raymond Park at Walden St,705.6217616580311,42.38736954,-71.12761001,193
Revere City Hall,983.75,42.40741,-71.0139,4
Revere Public Library,2082.1666666666665,42.408088,-71.008942,6
Rindge Avenue - O'Neill Library,1272.6369047619048,42.392766,-71.129042,168
Rogers St & Land Blvd,974.5942028985507,42.36644674,-71.07654601,207
Roseland St At Dorchester Ave,482.06666666666666,42.29116853,-71.06300889999999,15
Roslindale Village - South St,55901.75,42.287072,-71.127754,20
Roslindale Village - Washington St,1738.88,42.28630716,-71.12820532,25
Ross Playground,961.0,42.2645666,-71.1145523,1
Rowes Wharf at Atlantic Ave,680.1205673758865,42.357143,-71.050699,423
Roxbury Crossing T Stop - Columbus Ave at Tremont St,637.1662049861496,42.331184,-71.095171,722
Roxbury YMCA - Warren St at MLK Blvd,2993.8732394366198,42.31787329,-71.08243078,71
Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,762.0134615384616,42.33624445,-71.08798563,1040
S Huntington Ave at Heath St,803.2215189873418,42.32760387,-71.1108917,158
Salem MBTA - Lower Level,736.1,42.523994,-70.89684,10
Salem MBTA - Washington at Federal St,2912.754716981132,42.52345239,-70.89611113,53
Salem State University - Bike Path at Loring Ave,16179.354838709678,42.50182399,-70.89478076000002,31
Salem State University - North Campus,993.75,42.503332,-70.891444,20
Savin Hill T Stop - S Sydney St at Bay St,1889.6571428571428,42.3106,-71.0539,35
Seaport Blvd at Sleeper St,2286.630662020906,42.35317809,-71.04817357,861
Seaport Hotel - Congress St at Seaport Ln,1287.8614232209738,42.34881026,-71.04167744,267
Seaport Square - Seaport Blvd at Northern Ave,817.6076555023924,42.351481930000006,-71.04436085,418
Sennott Park Broadway at Norfolk Street,663.9276649746192,42.36860524,-71.09930186,788
Shawmut Ave at Lenox St,724.2333333333333,42.33584613,-71.08038157,60
Shawmut Ave at Oak St W,5250.710601719197,42.34854543,-71.06559185,349
Shawmut T Stop,8995.23076923077,42.292917,-71.06575,39
Shetland Park - Congress at Peabody St,17345.133333333335,42.51836788,-70.88952363,15
Sidney Research Campus/Erie Street at Waverly,687.8771929824561,42.35775309,-71.10393405,513
Silber Way,915.937106918239,42.349496,-71.10057592,636
Smith Pl at Wilson Rd,1124.9540229885058,42.39239749,-71.15058332,87
Soldiers Field Park - 111 Western Ave,1153.1654320987655,42.36426344,-71.1182757,405
Somerville City Hall,889.1984732824427,42.386844,-71.09812,262
Somerville High School & Central Library,764.7452830188679,42.3864,-71.09601,106
South Boston Library - 646 E Broadway,995.7363896848137,42.335741,-71.03877,349
South End Library - Tremont St at W Newton St,695.3050505050505,42.341332,-71.076847,495
South Station - 700 Atlantic Ave,1761.83984375,42.352175,-71.055547,1280
Spaulding Rehabilitation Hospital - Charlestown Navy Yard,4005.268765133172,42.37833799999999,-71.048927,413
Spring St at Powell St,2032.3636363636363,42.27748444,-71.16341468,22
St Mary's,915.4491315136477,42.34619708,-71.10728681,403
St. Alphonsus St at Tremont St,1908.2017353579176,42.33329255000001,-71.10124648,461
State Street at Channel Center,688.3554913294797,42.344137,-71.052608,346
Stony Brook T Stop,1003.6794425087108,42.316966,-71.104374,287
Stuart St at Berkeley St,1686.990909090909,42.34954403,-71.07242074,550
Stuart St at Charles St,1829.3296089385474,42.351146,-71.066289,358
Sullivan Square,10746.527131782947,42.38445226,-71.07514855,129
Sumner St at Shirley Ave,1634.3076923076924,42.40833706,-70.99804848,13
Surface Rd at India St,973.0272536687631,42.358155,-71.052163,477
Surface Rd at Summer St,821.9437819420783,42.3529457,-71.05656401,587
Swan St. Park,1128.4074074074074,42.41250451,-71.05842225,27
