end station name,Average trip duration,station latitude,station longitude,bikes entering
Maverick St at Massport Path,1091.3870967741937,42.36774122,-71.03335975,31
Mayor Salvo Path at Mill St,28901.571428571428,42.5180352,-70.89570075,35
Medford Sq - Riverside Ave at River St,1463.878048780488,42.417724,-71.108102,41
Medford St at Charlestown BCYF,1024.8594594594595,42.38042947,-71.06055722,185
Morton St at Gallivan Blvd,2923.0,42.278747,-71.080286,5
Mt Auburn,1305.6692913385828,42.37478629,-71.13320231,254
Mugar Way at Beacon St,1405.5681528662421,42.35553628,-71.0728687,785
Murphy Skating Rink - 1880 Day Blvd,2673.556603773585,42.336448000000004,-71.023739,106
Museum of Science,1844.3548387096773,42.36769018,-71.07116282,155
NCAAA - Walnut Ave at Crawford St,2541.5333333333333,42.316902,-71.091946,15
Nashua Street at Red Auerbach Way,1170.3274244004172,42.365673,-71.064263,959
New Balance - 20 Guest St,1793.020979020979,42.35732922,-71.1467354,143
Newmarket Square T Stop - Massachusetts Ave at Newmarket Square,5379.684523809524,42.326599,-71.066498,168
Newton Highlands T,1100.7272727272727,42.32206566,-71.20637298,11
Newton Library,1018.0,42.33620337,-71.20779455,3
Nichols Ave. at Watertown Greenway,1257.0265486725664,42.36762049,-71.15656637,113
Nonantum Library,745.6666666666666,42.36068456,-71.201462,9
North St at Liberty Hill Ave,517.2,42.52989965,-70.90614259,5
Northern Strand at Main St,1260.4901960784314,42.423860000000005,-71.067793,51
Oak Square - 615 Washington St,3418.277777777778,42.35057,-71.166491,126
Old Morse Park at Putnam Ave,768.5662460567823,42.35766248,-71.10841334,634
One Beacon St,757.6222222222223,42.35847764,-71.0613513,135
One Brigham Circle,1009.832,42.3339227,-71.10446509,375
One Broadway / Kendall Sq at Main St / 3rd St,621.3219264892268,42.36224178999999,-71.08311072,789
One Kendall Square at Hampshire St / Portland St,717.7214217098943,42.366277,-71.09169,1041
One Memorial Drive,1753.890510948905,42.36161932,-71.08043551,274
Orient Heights T Stop - Bennington St at Saratoga St,1885.219512195122,42.386781,-71.006098,41
Orr Sq (Shirley Ave),2832.214285714286,42.40715656,-70.9927243,28
Packard Ave at Powderhouse Blvd,4628.745562130178,42.40449,-71.123413,169
Packard's Corner - Commonwealth Ave at Brighton Ave,1181.400684931507,42.352261,-71.123831,876
Park Dr at Buswell St,848.7303370786517,42.347241,-71.105301,445
Park Plaza at Charles St S.,878.5204359673024,42.35182807,-71.06781138,367
Perry Park,868.0362438220758,42.37927325,-71.10341903,607
Pier 4 Blvd at Autumn Ln,1303.2362869198312,42.3502102,-71.0446705,237
Porter Square Station,1965.1922196796338,42.387995,-71.119084,874
Porzio Park,2644.5,42.36411904,-71.02876782,54
Powder House Circle - Nathan Tufts Park,1982.0209424083769,42.400877,-71.116772,191
Prudential Center - 101 Huntington Ave,851.1889671361503,42.34652004,-71.08065777,852
Purchase St at Pearl St,689.1880998080615,42.354659,-71.053181,521
Railroad Lot and Minuteman Bikeway,2126.866666666667,42.41606457,-71.15336637,150
Raymond Park at Walden St,734.0320855614973,42.38736954,-71.12761001,187
Revere City Hall,2206.0,42.40741,-71.0139,3
Revere Public Library,697.4285714285714,42.408088,-71.008942,7
Rindge Avenue - O'Neill Library,1228.0503597122301,42.392766,-71.129042,139
Rogers St & Land Blvd,867.9128440366973,42.36644674,-71.07654601,218
Roseland St At Dorchester Ave,2506.0,42.29116853,-71.0630089,21
Roslindale Village - South St,1197.047619047619,42.287072,-71.127754,42
Roslindale Village - Washington St,1397.5652173913043,42.28630716,-71.12820532,23
Ross Playground,14558.333333333334,42.2645666,-71.1145523,3
Rowes Wharf at Atlantic Ave,720.2132352941177,42.357143,-71.050699,408
Roxbury Crossing T Stop - Columbus Ave at Tremont St,652.5922330097087,42.331184,-71.095171,721
Roxbury YMCA - Warren St at MLK Blvd,7280.194029850746,42.31787329,-71.08243078,67
Ruggles T Stop - Columbus Ave at Melnea Cass Blvd,784.2334525939177,42.33624445,-71.08798563,1118
S Huntington Ave at Heath St,1057.6363636363637,42.32760387,-71.1108917,143
Salem MBTA - Lower Level,1719.2,42.523994,-70.89684,10
Salem MBTA - Washington at Federal St,6331.714285714285,42.52345239,-70.89611113,49
Salem State University - Bike Path at Loring Ave,7045.594594594595,42.50182399,-70.89478076,37
Salem State University - North Campus,1425.6190476190477,42.503332,-70.891444,21
