start station id,start station name,start station latitude,start station longitude,tripduration
525,California at Chapel,42.36514871,-71.20236039,1820.8125
526,Beacon at Walnut,42.33006232,-71.20668411,263.5
527,Newton Library,42.33620337,-71.20779455,2158
528,Washington St at Walnut St,42.35145812,-71.20764971,2264
529,One Beacon St,42.35847764,-71.0613513,976.4619048
530,Foley St at Grand Union Blvd,42.3930184,-71.08071685,955.59375
531,Harvard St and Stedman St,42.34435176,-71.12490356,735.3562005
532,Concord Ave at Spinelli Place,42.390719,-71.1538877,1360.394737
533,Danehy Park at New Street,42.389456,-71.139019,2395.071429
535,Auburndale,42.34805541,-71.24775946,1536.5
536,Clinton St at North St,42.36070284,-71.05524927,12217.46703
538,Circuit Drive at American Legion Hwy,42.29704126,-71.09171927,1414.434783
539,Walnut Ave at School St,42.31242399,-71.09616905,1446.036364
540,Sumner St at Shirley Ave,42.40833706,-70.99804848,1634.307692
541,Orr Sq (Shirley Ave),42.40715656,-70.9927243,2018
544,Old Morse Park at Putnam Ave,42.35766248,-71.10841334,681.8018868
545,Morton St at Gallivan Blvd,42.278747,-71.080286,2259
546,Cleary Sq,42.2556,-71.12444,1855.5
547,606 American Legion Hwy at Canterbury St,42.28578,-71.109725,1172.181818
548,555 Metropolitan Ave,42.2681,-71.11924,11617.25
549,Valenti Way at Haverhill St,42.36473899,-71.05934903,2541.080895
550,Somerville High School & Central Library,42.3864,-71.09601,764.745283
553,Cambridge Crossing at North First Street,42.371141,-71.076198,959.5020202
554,Forsyth St at Huntington Ave,42.339202,-71.090511,864.079614
555,Hyde Park Library,42.2568376,-71.122509,1725.5
556,Ross Playground,42.2645666,-71.1145523,961
557,Galileo Galilei Way at Fulkerson St/Binney St,42.3664204,-71.0885418,911.7894737
558,St. Alphonsus St at Tremont St,42.33329255,-71.10124648,1908.201735
559,Centre St at Commonwealth Ave,42.3362358,-71.1934421,1184.666667
560,Flat 9 at Whittier,42.33420351,-71.08767617,2092.74359
561,Pier 4 Blvd at Autumn Ln,42.3502102,-71.0446705,719.0321101
562,Hawthorne Boulevard,42.5223714,-70.8903331,1893.842105
564,Raymond Park at Walden St,42.38736954,-71.12761001,705.6217617
565,Wellington MBTA,42.4023682,-71.07573182,1352.351852
566,Main Street/Albany Street/Technology Square,42.3629016,-71.0915669,1004.87078
568,Shawmut Ave at Lenox St,42.33584613,-71.08038157,724.2333333
569,Hood Park,42.38004535,-71.07304573,986.7741935
570,Salem State University - North Campus,42.503332,-70.891444,993.75
571,Forest River Park,42.506395,-70.88693,1413.2
572,Essex St at Dalton Parkway,42.516223,-70.905535,69565.64706
573,Salem MBTA - Lower Level,42.523994,-70.89684,736.1
574,Community Life Center,42.520136,-70.906271,1438
575,Goodhue St at Grove St,42.520897,-70.910528,323
576,Main St at Brooks Park,42.411709,-71.110444,965.6666667
577,Medford Sq - Riverside Ave at River St,42.417724,-71.108102,7496.921053
578,Tufts Sq - Main St at Medford St,42.401697,-71.106128,1341.709302
582,Gore Street at Lambert Street,42.3730798,-71.08634234,692.286578
583,Broad Canal Way at Third Street,42.3630455,-71.08287079,715.9635628
584,Malden Center T Station,42.426541,-71.073179,4291.833333
585,Northern Strand at Main St,42.42386,-71.067793,1298.223881
586,Gramsdorf Playground,42.408156,-71.0429,1152.551724
587,Malden High School,42.42653766,-71.06393695,3591.969697
589,North St at Liberty Hill Ave,42.52989965,-70.90614259,912.5
590,John Ahern Field at Kennedy-Longfellow School,42.36903567,-71.0863096,820.6025641
591,515 Somerville Ave (Temp. Winter Location),42.38322727,-71.10606909,1067.191136
